6 0
6 1 45
6 2 24 35
6 2 34 35
6 2 34 45
6 2 35 45
6 3 03 14 25
6 3 13 14 25
6 3 13 24 45
6 3 14 25 34
6 3 23 24 25
6 3 23 24 45
6 3 23 34 35
6 3 23 34 45
6 3 24 25 34
6 3 24 34 45
6 3 25 34 45
6 3 25 35 45
6 4 02 03 04 15
6 4 02 03 14 15
6 4 02 03 14 45
6 4 02 13 14 45
6 4 02 13 24 35
6 4 02 13 34 35
6 4 02 13 34 45
6 4 03 04 15 23
6 4 03 04 15 25
6 4 03 13 24 45
6 4 03 14 24 45
6 4 03 15 24 45
6 4 04 15 24 34
6 4 04 15 24 35
6 4 12 13 14 15
6 4 12 13 14 45
6 4 12 13 24 35
6 4 12 13 34 35
6 4 12 13 34 45
6 4 12 23 24 25
6 4 12 23 24 45
6 4 12 23 34 35
6 4 12 23 34 45
6 4 13 14 15 23
6 4 13 14 23 25
6 4 13 15 24 45
6 4 13 23 24 45
6 4 13 23 34 35
6 4 13 23 34 45
6 4 13 24 35 45
6 4 14 15 24 34
6 4 14 15 24 35
6 4 14 23 24 45
6 4 14 23 34 35
6 4 14 23 34 45
6 4 14 24 34 45
6 4 15 23 24 45
6 4 15 23 34 45
6 4 15 24 34 45
6 4 15 25 34 45
6 4 15 25 35 45
6 4 23 24 35 45
6 4 24 25 34 35
6 5 13 15 23 24 45
6 5 14 15 23 34 35
6 5 14 15 24 25 34
6 5 15 23 24 35 45
6 6 01 02 03 04 35 45
6 6 01 02 03 14 25 34
6 6 01 02 03 24 25 34
6 6 01 02 03 24 34 45
6 6 01 02 03 25 34 45
6 6 01 02 13 14 15 23
6 6 01 02 13 14 23 25
6 6 01 02 13 15 24 45
6 6 01 02 13 23 24 45
6 6 01 02 13 23 34 35
6 6 01 02 13 23 34 45
6 6 01 02 13 24 35 45
6 6 01 02 14 23 24 45
6 6 01 02 14 23 34 35
6 6 01 02 14 23 34 45
6 6 01 02 15 23 24 45
6 6 01 02 15 23 34 45
6 6 01 02 23 24 35 45
6 6 01 12 13 14 35 45
6 6 01 12 13 24 25 34
6 6 01 12 13 24 34 45
6 6 01 12 13 25 34 45
6 6 01 12 23 24 35 45
6 6 02 03 04 05 12 13
6 6 02 03 04 12 13 15
6 6 02 03 04 12 14 45
6 6 02 03 04 13 35 45
6 6 02 03 05 12 14 45
6 6 02 03 12 13 14 45
6 6 02 03 12 13 24 35
6 6 02 03 12 13 34 35
6 6 02 03 12 13 34 45
6 6 02 03 12 14 35 45
6 6 02 03 12 15 24 35
6 6 02 03 12 24 25 34
6 6 02 03 12 24 34 45
6 6 02 03 13 24 25 34
6 6 02 03 14 25 35 45
6 6 02 04 05 13 34 35
6 6 02 04 12 13 34 35
6 6 02 04 12 13 34 45
6 6 02 04 13 25 34 45
6 6 02 05 12 13 14 45
6 6 02 05 12 13 34 45
6 6 02 05 13 14 24 35
6 6 02 05 13 14 35 45
6 6 02 12 13 14 35 45
6 6 02 12 13 25 34 45
6 6 02 12 23 24 35 45
6 6 02 13 15 24 25 34
6 6 02 13 24 25 34 35
6 6 03 04 05 13 14 23
6 6 03 04 05 13 14 25
6 6 03 04 12 13 35 45
6 6 03 04 12 23 24 25
6 6 03 04 12 23 24 45
6 6 03 04 13 15 23 24
6 6 03 04 13 15 24 25
6 6 03 04 13 23 35 45
6 6 03 04 13 24 35 45
6 6 03 05 12 23 24 45
6 6 03 05 13 15 24 45
6 6 03 05 13 23 24 45
6 6 03 05 14 23 24 45
6 6 03 05 15 23 24 45
6 6 03 12 13 25 34 45
6 6 03 12 23 24 35 45
6 6 03 13 14 23 24 45
6 6 04 05 12 13 24 35
6 6 04 05 12 13 34 35
6 6 04 05 12 23 34 35
6 6 04 05 13 23 34 35
6 6 04 05 14 15 24 34
6 6 04 05 14 15 24 35
6 6 04 05 14 23 34 35
6 6 04 12 13 24 25 34
6 6 04 12 13 24 34 45
6 6 04 12 13 25 34 45
6 6 04 13 14 23 24 45
6 6 05 12 13 14 35 45
6 6 05 12 13 24 25 34
6 6 05 12 13 24 34 45
6 6 05 12 13 25 34 45
6 6 05 12 23 24 35 45
6 6 05 13 14 23 24 45
6 6 05 13 14 23 35 45
6 6 05 15 23 24 35 45
6 6 12 13 14 25 35 45
6 6 12 13 24 25 34 35
6 6 13 14 15 23 24 25
6 6 13 14 23 24 35 45
6 6 14 15 24 25 34 35
6 7 01 02 03 04 25 35 45
6 7 01 02 03 14 15 24 34
6 7 01 02 03 14 15 24 35
6 7 01 02 03 14 24 34 45
6 7 01 02 03 15 24 34 45
6 7 01 02 03 15 25 34 45
6 7 01 02 03 24 25 34 35
6 7 01 02 13 14 15 23 24
6 7 01 02 13 14 23 24 45
6 7 01 02 13 14 23 35 45
6 7 01 02 13 15 23 24 45
6 7 01 02 14 15 23 34 35
6 7 01 02 15 23 24 35 45
6 7 01 12 13 14 25 35 45
6 7 01 12 13 24 25 34 35
6 7 02 03 04 05 12 13 14
6 7 02 03 04 12 13 14 45
6 7 02 03 04 12 13 35 45
6 7 02 03 04 12 25 35 45
6 7 02 03 05 12 13 14 45
6 7 02 03 12 13 24 25 34
6 7 02 03 12 13 24 34 45
6 7 02 03 12 13 25 34 45
6 7 02 03 12 14 25 35 45
6 7 02 03 12 24 25 34 35
6 7 02 03 13 15 24 25 34
6 7 02 04 05 12 13 34 35
6 7 02 04 12 13 25 34 45
6 7 02 05 12 13 14 35 45
6 7 03 04 05 12 23 24 25
6 7 03 04 05 13 14 15 23
6 7 03 04 05 13 14 23 24
6 7 03 04 05 13 14 23 25
6 7 03 04 12 13 14 35 45
6 7 03 04 12 23 24 35 45
6 7 03 04 13 14 23 24 45
6 7 03 04 13 14 23 35 45
6 7 03 05 13 14 23 24 45
6 7 03 05 13 15 23 24 45
6 7 04 05 12 13 24 25 34
6 7 04 05 14 15 23 34 35
6 7 04 05 14 15 24 25 34
6 7 04 12 13 24 25 34 35
6 7 05 12 13 14 25 35 45
6 7 05 13 14 23 24 35 45
6 8 01 02 03 04 15 25 35 45
6 8 01 02 03 14 15 24 25 34
6 8 01 02 13 14 15 23 24 25
6 8 01 02 13 14 23 24 35 45
6 8 02 03 04 05 12 13 14 15
6 8 02 03 04 12 13 14 35 45
6 8 02 03 04 12 13 25 35 45
6 8 02 03 12 13 24 25 34 35
6 8 03 04 05 13 14 15 23 24
6 8 03 04 13 14 23 24 35 45
6 8 04 05 12 13 24 25 34 35
6 8 04 05 14 15 24 25 34 35
6 9 01 02 03 14 15 24 25 34 35
6 9 02 03 04 12 13 14 25 35 45
6 9 03 04 05 13 14 15 23 24 25
6 0 0
6 1 54 0
6 1 54 5
6 2 42 53 0
6 2 42 53 4
6 2 43 53 0
6 2 43 53 4
6 2 43 54 0
6 2 43 54 5
6 2 53 54 0
6 2 53 54 5
6 3 30 41 52 3
6 3 31 41 52 0
6 3 31 41 52 3
6 3 31 41 52 5
6 3 31 42 54 0
6 3 31 42 54 3
6 3 31 42 54 5
6 3 41 43 52 0
6 3 41 43 52 4
6 3 41 43 52 5
6 3 32 42 52 0
6 3 32 42 52 3
6 3 32 42 54 0
6 3 32 42 54 3
6 3 32 42 54 5
6 3 32 43 53 0
6 3 32 43 53 4
6 3 32 43 54 0
6 3 32 43 54 5
6 3 42 43 52 0
6 3 42 43 52 4
6 3 42 43 52 5
6 3 42 43 54 0
6 3 42 43 54 5
6 3 43 52 54 0
6 3 43 52 54 5
6 3 52 53 54 0
6 3 52 53 54 5
6 4 20 30 40 51 2
6 4 20 30 40 51 5
6 4 20 30 41 51 2
6 4 20 30 41 54 2
6 4 20 30 41 54 5
6 4 20 31 41 54 2
6 4 20 31 41 54 3
6 4 20 31 41 54 5
6 4 20 31 42 53 4
6 4 20 31 43 53 2
6 4 20 31 43 53 4
6 4 20 31 43 54 2
6 4 20 31 43 54 5
6 4 30 32 40 51 3
6 4 30 32 40 51 4
6 4 30 32 40 51 5
6 4 30 40 51 52 3
6 4 30 40 51 52 5
6 4 30 31 42 54 3
6 4 30 31 42 54 5
6 4 30 41 42 54 3
6 4 30 41 42 54 5
6 4 30 42 51 54 3
6 4 30 42 51 54 5
6 4 40 42 43 51 4
6 4 40 42 43 51 5
6 4 40 42 51 53 4
6 4 21 31 41 51 0
6 4 21 31 41 51 2
6 4 21 31 41 54 0
6 4 21 31 41 54 2
6 4 21 31 41 54 5
6 4 21 31 42 53 0
6 4 21 31 42 53 4
6 4 21 31 43 53 0
6 4 21 31 43 53 2
6 4 21 31 43 53 4
6 4 21 31 43 54 0
6 4 21 31 43 54 2
6 4 21 31 43 54 5
6 4 21 32 42 52 0
6 4 21 32 42 52 3
6 4 21 32 42 54 0
6 4 21 32 42 54 3
6 4 21 32 42 54 5
6 4 21 32 43 53 0
6 4 21 32 43 53 4
6 4 21 32 43 54 0
6 4 21 32 43 54 5
6 4 31 32 41 51 0
6 4 31 32 41 51 3
6 4 31 32 41 51 4
6 4 31 32 41 52 0
6 4 31 32 41 52 3
6 4 31 32 41 52 4
6 4 31 42 51 54 0
6 4 31 42 51 54 3
6 4 31 42 51 54 5
6 4 31 32 42 54 0
6 4 31 32 42 54 3
6 4 31 32 42 54 5
6 4 31 32 43 53 0
6 4 31 32 43 53 4
6 4 31 32 43 54 0
6 4 31 32 43 54 5
6 4 31 42 53 54 0
6 4 31 42 53 54 5
6 4 41 42 43 51 0
6 4 41 42 43 51 4
6 4 41 42 43 51 5
6 4 41 42 51 53 0
6 4 41 42 51 53 4
6 4 32 41 42 54 0
6 4 32 41 42 54 3
6 4 32 41 42 54 5
6 4 32 41 43 53 0
6 4 32 41 43 53 4
6 4 32 41 43 53 5
6 4 32 41 43 54 0
6 4 32 41 43 54 5
6 4 41 42 43 54 0
6 4 41 42 43 54 5
6 4 32 42 51 54 0
6 4 32 42 51 54 3
6 4 32 42 51 54 5
6 4 32 43 51 54 0
6 4 32 43 51 54 5
6 4 42 43 51 54 0
6 4 42 43 51 54 5
6 4 43 51 52 54 0
6 4 43 51 52 54 5
6 4 51 52 53 54 0
6 4 51 52 53 54 5
6 4 32 42 53 54 0
6 4 32 42 53 54 5
6 4 42 43 52 53 0
6 4 42 43 52 53 4
6 5 10 20 30 40 50 1
6 5 10 20 30 40 54 1
6 5 10 20 30 40 54 5
6 5 10 20 30 42 53 1
6 5 10 20 30 42 53 4
6 5 10 20 30 43 53 1
6 5 10 20 30 43 53 4
6 5 10 20 30 43 54 1
6 5 10 20 30 43 54 5
6 5 10 20 31 41 52 3
6 5 10 20 31 41 52 5
6 5 10 20 31 42 54 3
6 5 10 20 31 42 54 5
6 5 10 20 32 42 52 1
6 5 10 20 32 42 52 3
6 5 10 20 32 42 54 1
6 5 10 20 32 42 54 3
6 5 10 20 32 42 54 5
6 5 10 20 32 43 53 1
6 5 10 20 32 43 53 4
6 5 10 20 32 43 54 1
6 5 10 20 32 43 54 5
6 5 10 21 31 41 51 2
6 5 10 21 31 41 54 2
6 5 10 21 31 41 54 5
6 5 10 21 31 42 53 4
6 5 10 21 31 43 53 2
6 5 10 21 31 43 53 4
6 5 10 21 31 43 54 2
6 5 10 21 31 43 54 5
6 5 10 21 32 42 52 3
6 5 10 21 32 42 54 3
6 5 10 21 32 42 54 5
6 5 10 21 32 43 53 4
6 5 10 21 32 43 54 5
6 5 20 21 30 40 50 2
6 5 20 21 30 40 50 3
6 5 20 21 30 40 51 2
6 5 20 21 30 40 51 3
6 5 20 21 30 40 51 5
6 5 20 30 41 50 54 2
6 5 20 30 41 50 54 5
6 5 20 21 30 41 54 2
6 5 20 21 30 41 54 3
6 5 20 21 30 41 54 5
6 5 20 21 30 42 53 4
6 5 20 21 30 42 53 5
6 5 20 31 40 41 54 2
6 5 20 31 40 41 54 5
6 5 20 31 40 43 53 2
6 5 20 31 40 43 53 4
6 5 20 31 40 43 53 5
6 5 20 31 40 43 54 2
6 5 20 31 40 43 54 5
6 5 20 31 41 50 54 2
6 5 20 31 41 50 54 3
6 5 20 31 41 50 54 5
6 5 20 31 43 50 54 2
6 5 20 31 43 50 54 5
6 5 20 21 31 41 54 2
6 5 20 21 31 41 54 3
6 5 20 21 31 41 54 5
6 5 20 21 31 43 53 2
6 5 20 21 31 43 53 4
6 5 20 21 31 43 54 2
6 5 20 21 31 43 54 5
6 5 20 21 32 42 52 3
6 5 20 21 32 42 54 3
6 5 20 21 32 42 54 5
6 5 20 21 32 43 53 4
6 5 20 21 32 43 54 5
6 5 20 31 41 42 53 4
6 5 20 31 41 42 53 5
6 5 20 31 41 53 54 2
6 5 20 31 41 53 54 5
6 5 20 31 42 43 52 4
6 5 20 31 42 43 52 5
6 5 20 31 42 43 54 5
6 5 20 31 43 52 54 5
6 5 30 31 32 40 50 3
6 5 30 31 32 40 50 4
6 5 30 31 40 42 50 3
6 5 30 31 40 42 50 5
6 5 30 31 40 41 52 3
6 5 30 31 40 41 52 5
6 5 30 31 32 40 51 3
6 5 30 31 32 40 51 4
6 5 30 31 40 42 51 3
6 5 30 31 40 42 51 4
6 5 30 31 40 42 51 5
6 5 30 31 42 50 54 3
6 5 30 31 42 50 54 5
6 5 30 41 42 50 54 3
6 5 30 41 42 50 54 5
6 5 30 42 50 51 54 3
6 5 30 42 50 51 54 5
6 5 21 30 31 43 53 2
6 5 21 30 31 43 53 4
6 5 21 30 31 43 54 2
6 5 21 30 31 43 54 5
6 5 21 30 41 53 54 2
6 5 21 30 41 53 54 5
6 5 21 30 32 42 52 3
6 5 21 30 32 42 52 4
6 5 21 30 32 42 54 3
6 5 21 30 32 42 54 5
6 5 21 30 32 43 53 4
6 5 21 30 32 43 54 5
6 5 30 31 32 42 54 3
6 5 30 31 32 42 54 5
6 5 30 31 32 43 53 4
6 5 30 31 32 43 54 5
6 5 30 32 41 42 54 3
6 5 30 32 41 42 54 5
6 5 30 32 41 53 54 5
6 5 30 32 42 51 54 3
6 5 30 32 42 51 54 5
6 5 40 41 42 43 50 4
6 5 40 41 42 43 50 5
6 5 40 41 43 50 52 4
6 5 40 41 43 50 52 5
6 5 21 31 40 41 54 2
6 5 21 31 40 41 54 5
6 5 21 31 40 42 53 4
6 5 21 31 40 42 53 5
6 5 21 31 40 43 53 2
6 5 21 31 40 43 53 4
6 5 21 31 40 43 53 5
6 5 21 31 40 43 54 2
6 5 21 31 40 43 54 5
6 5 21 32 40 42 54 3
6 5 21 32 40 42 54 5
6 5 21 32 40 43 53 4
6 5 21 32 40 43 53 5
6 5 21 32 40 43 54 5
6 5 31 32 40 43 53 4
6 5 31 32 40 43 53 5
6 5 31 32 40 43 54 5
6 5 32 40 41 42 54 3
6 5 32 40 41 42 54 5
6 5 32 40 41 43 53 4
6 5 32 40 41 43 53 5
6 5 32 40 41 43 54 5
6 5 40 41 42 43 54 5
6 5 32 40 43 51 53 4
6 5 21 31 41 50 54 2
6 5 21 31 41 50 54 5
6 5 21 31 43 50 54 2
6 5 21 31 43 50 54 5
6 5 21 32 42 50 54 3
6 5 21 32 42 50 54 5
6 5 21 32 43 50 54 5
6 5 31 32 43 50 54 5
6 5 31 42 50 53 54 5
6 5 32 41 42 50 54 3
6 5 32 41 42 50 54 5
6 5 32 41 43 50 54 5
6 5 41 42 43 50 54 5
6 5 32 42 50 51 54 3
6 5 32 42 50 51 54 5
6 5 32 43 50 51 54 5
6 5 42 43 50 51 54 5
6 5 43 50 51 52 54 5
6 5 50 51 52 53 54 5
6 5 21 31 41 53 54 0
6 5 21 31 41 53 54 2
6 5 21 31 41 53 54 5
6 5 21 31 42 43 52 0
6 5 21 31 42 43 52 4
6 5 21 31 42 43 52 5
6 5 21 31 42 43 54 0
6 5 21 31 42 43 54 5
6 5 21 31 43 52 54 0
6 5 21 31 43 52 54 5
6 5 21 32 42 53 54 0
6 5 21 32 42 53 54 5
6 5 31 32 41 42 51 0
6 5 31 32 41 42 51 3
6 5 31 32 41 42 51 5
6 5 31 32 41 42 54 0
6 5 31 32 41 42 54 3
6 5 31 32 41 42 54 5
6 5 31 32 41 53 54 0
6 5 31 32 41 53 54 5
6 5 31 32 42 51 54 0
6 5 31 32 42 51 54 3
6 5 31 32 42 51 54 5
6 5 32 41 43 51 53 0
6 5 32 41 43 51 53 4
6 5 41 42 43 51 52 0
6 5 41 42 43 51 52 4
6 5 41 42 43 51 52 5
6 5 32 42 51 53 54 0
6 5 32 42 51 53 54 5
6 6 10 20 30 40 53 54 1
6 6 10 20 30 40 53 54 5
6 6 10 20 30 41 43 52 4
6 6 10 20 30 41 43 52 5
6 6 10 20 30 42 43 52 1
6 6 10 20 30 42 43 52 4
6 6 10 20 30 42 43 52 5
6 6 10 20 30 42 43 54 1
6 6 10 20 30 42 43 54 5
6 6 10 20 30 43 52 54 1
6 6 10 20 30 43 52 54 5
6 6 10 20 31 32 41 51 3
6 6 10 20 31 32 41 51 4
6 6 10 20 31 32 41 52 3
6 6 10 20 31 32 41 52 4
6 6 10 20 31 42 51 54 3
6 6 10 20 31 42 51 54 5
6 6 10 20 31 32 42 54 3
6 6 10 20 31 32 42 54 5
6 6 10 20 31 32 43 53 4
6 6 10 20 31 32 43 54 5
6 6 10 20 31 42 53 54 5
6 6 10 20 32 41 42 54 3
6 6 10 20 32 41 42 54 5
6 6 10 20 32 41 43 53 4
6 6 10 20 32 41 43 53 5
6 6 10 20 32 41 43 54 5
6 6 10 20 32 42 51 54 3
6 6 10 20 32 42 51 54 5
6 6 10 20 32 43 51 54 5
6 6 10 20 32 42 53 54 1
6 6 10 20 32 42 53 54 5
6 6 10 21 31 41 53 54 2
6 6 10 21 31 41 53 54 5
6 6 10 21 31 42 43 52 4
6 6 10 21 31 42 43 52 5
6 6 10 21 31 42 43 54 5
6 6 10 21 31 43 52 54 5
6 6 10 21 32 42 53 54 5
6 6 20 21 30 31 40 50 2
6 6 20 21 30 31 40 50 4
6 6 20 21 30 31 40 51 2
6 6 20 21 30 31 40 51 4
6 6 20 21 30 40 41 54 2
6 6 20 21 30 40 41 54 3
6 6 20 21 30 40 41 54 5
6 6 20 30 31 40 53 54 2
6 6 20 30 31 40 53 54 5
6 6 20 21 30 41 50 54 2
6 6 20 21 30 41 50 54 3
6 6 20 21 30 41 50 54 5
6 6 20 21 30 31 41 54 2
6 6 20 21 30 31 41 54 5
6 6 20 21 30 31 42 53 4
6 6 20 21 30 31 43 53 2
6 6 20 21 30 31 43 53 4
6 6 20 21 30 31 43 54 2
6 6 20 21 30 31 43 54 5
6 6 20 21 30 41 53 54 2
6 6 20 21 30 41 53 54 5
6 6 20 21 30 42 51 53 4
6 6 20 21 30 42 51 53 5
6 6 20 21 30 42 43 52 4
6 6 20 21 30 42 43 52 5
6 6 20 21 30 42 43 54 5
6 6 20 30 31 42 43 52 4
6 6 20 30 31 42 43 52 5
6 6 20 30 41 52 53 54 5
6 6 20 31 40 43 50 53 2
6 6 20 31 40 43 50 53 4
6 6 20 21 31 40 43 53 2
6 6 20 21 31 40 43 53 4
6 6 20 21 31 40 43 53 5
6 6 20 21 31 40 43 54 2
6 6 20 21 31 40 43 54 5
6 6 20 31 40 43 52 54 5
6 6 20 21 31 41 50 54 2
6 6 20 21 31 41 50 54 3
6 6 20 21 31 41 50 54 5
6 6 20 21 31 43 50 54 2
6 6 20 21 31 43 50 54 5
6 6 20 31 41 42 50 53 4
6 6 20 31 41 50 53 54 2
6 6 20 31 41 50 53 54 5
6 6 20 21 31 41 53 54 2
6 6 20 21 31 41 53 54 5
6 6 20 21 31 43 52 54 5
6 6 20 21 32 42 53 54 5
6 6 20 31 42 43 51 52 4
6 6 20 31 42 43 51 52 5
6 6 20 31 42 43 52 53 4
6 6 30 31 32 40 41 50 3
6 6 30 31 32 40 41 50 4
6 6 30 31 32 40 41 50 5
6 6 30 31 40 41 50 52 3
6 6 30 31 40 41 50 52 5
6 6 21 30 31 40 53 54 2
6 6 21 30 31 40 53 54 5
6 6 21 30 32 40 42 52 3
6 6 21 30 32 40 42 52 5
6 6 21 30 32 40 42 54 3
6 6 21 30 32 40 42 54 5
6 6 30 31 32 40 42 51 3
6 6 30 31 32 40 42 51 4
6 6 30 31 32 40 42 51 5
6 6 30 31 40 42 51 52 3
6 6 30 31 32 40 53 54 5
6 6 30 31 40 42 53 54 5
6 6 21 30 32 42 50 54 3
6 6 21 30 32 42 50 54 5
6 6 30 31 42 50 51 54 3
6 6 30 31 42 50 51 54 5
6 6 30 31 32 42 50 54 3
6 6 30 31 32 42 50 54 5
6 6 30 32 41 42 50 54 3
6 6 30 32 41 42 50 54 5
6 6 30 32 42 50 51 54 3
6 6 30 32 42 50 51 54 5
6 6 21 30 31 43 52 54 5
6 6 21 30 32 42 53 54 5
6 6 30 31 32 41 42 54 3
6 6 30 31 32 41 42 54 5
6 6 21 31 40 42 50 53 4
6 6 21 31 40 43 50 53 2
6 6 21 31 40 43 50 53 4
6 6 21 32 40 43 50 53 4
6 6 31 32 40 43 50 53 4
6 6 40 41 42 43 50 51 4
6 6 40 41 42 43 50 51 5
6 6 40 41 42 50 51 53 4
6 6 32 40 41 43 50 53 4
6 6 32 40 41 43 50 53 5
6 6 21 31 40 42 43 52 4
6 6 21 31 40 42 43 52 5
6 6 21 31 40 42 43 54 5
6 6 21 31 40 43 52 54 5
6 6 31 32 40 41 42 54 3
6 6 31 32 40 41 42 54 5
6 6 21 31 41 50 53 54 2
6 6 21 31 41 50 53 54 5
6 6 21 31 42 43 50 52 4
6 6 21 31 42 43 50 52 5
6 6 21 31 42 43 50 54 5
6 6 21 31 43 50 52 54 5
6 6 21 32 42 50 53 54 5
6 6 31 32 41 42 50 54 3
6 6 31 32 41 42 50 54 5
6 6 31 32 41 50 53 54 5
6 6 32 42 50 51 53 54 5
6 6 21 31 41 52 53 54 0
6 6 21 31 41 52 53 54 5
6 6 21 31 42 43 52 53 0
6 6 21 31 42 43 52 53 4
6 6 31 32 41 42 51 52 0
6 6 31 32 41 42 51 52 3
6 6 31 32 41 42 53 54 0
6 6 31 32 41 42 53 54 5
6 6 41 42 43 51 52 53 0
6 6 41 42 43 51 52 53 4
6 7 10 20 30 40 52 53 54 1
6 7 10 20 30 40 52 53 54 5
6 7 10 20 30 41 42 43 51 4
6 7 10 20 30 41 42 43 51 5
6 7 10 20 30 41 42 51 53 4
6 7 10 20 30 41 42 43 54 5
6 7 10 20 30 42 43 51 54 5
6 7 10 20 30 43 51 52 54 5
6 7 10 20 30 42 43 52 53 1
6 7 10 20 30 42 43 52 53 4
6 7 10 20 31 32 41 42 51 3
6 7 10 20 31 32 41 42 51 5
6 7 10 20 31 32 41 42 54 3
6 7 10 20 31 32 41 42 54 5
6 7 10 20 31 32 41 53 54 5
6 7 10 20 31 32 42 51 54 3
6 7 10 20 31 32 42 51 54 5
6 7 10 20 32 41 43 51 53 4
6 7 10 20 32 42 51 53 54 5
6 7 10 21 31 41 52 53 54 5
6 7 10 21 31 42 43 52 53 4
6 7 20 21 30 31 40 41 50 2
6 7 20 21 30 31 40 41 50 5
6 7 20 21 30 31 40 41 54 2
6 7 20 21 30 31 40 41 54 5
6 7 20 21 30 31 40 53 54 2
6 7 20 21 30 31 40 53 54 5
6 7 20 21 30 40 52 53 54 5
6 7 20 21 30 31 41 50 54 2
6 7 20 21 30 31 41 50 54 5
6 7 20 21 30 31 42 43 52 4
6 7 20 21 30 31 42 43 52 5
6 7 20 21 30 31 42 43 54 5
6 7 20 21 30 31 43 52 54 5
6 7 20 21 30 41 52 53 54 5
6 7 20 21 30 42 43 52 53 4
6 7 20 30 31 42 43 51 52 4
6 7 20 30 31 42 43 51 52 5
6 7 20 21 31 40 43 50 53 2
6 7 20 21 31 40 43 50 53 4
6 7 20 21 31 40 43 52 54 5
